ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,book_source,book_latency_ms,book_http_status,book_missing_reason,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,pm_book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768133930849,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133930849,1768137530849,90709.995,coinbase,3337,polymarket,309,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133932375,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133932375,1768137530849,90709.995,coinbase,4863,polymarket,422,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133933899,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133933899,1768137530849,90709.995,coinbase,1781,polymarket,318,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133935324,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133935324,1768137530849,90718.405,coinbase,204,polymarket,400,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133936829,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133936829,1768137530849,90718.405,coinbase,838,polymarket,256,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133938201,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133938201,1768137530849,90718.405,coinbase,2121,polymarket,375,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133939682,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133939682,1768137530849,90718.405,coinbase,1066,polymarket,466,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133941271,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133941271,1768137530849,90718.405,coinbase,2655,polymarket,318,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133942703,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133942703,1768137530849,90718.405,coinbase,573,polymarket,417,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133944233,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133944233,1768137530849,90718.405,coinbase,2103,polymarket,374,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133945722,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133945722,1768137530849,90718.405,coinbase,1244,polymarket,359,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133947187,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133947187,1768137530849,90718.405,coinbase,1182,polymarket,310,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133948609,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133948609,1768137530849,90718.405,coinbase,2604,polymarket,359,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133950076,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133950076,1768137530849,90715.985,coinbase,700,polymarket,443,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133951642,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133951642,1768137530849,90715.985,coinbase,1387,polymarket,276,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133953039,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133953039,1768137530849,90715.985,coinbase,726,polymarket,398,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133954770,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133954770,1768137530849,90715.985,coinbase,2457,polymarket,286,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133956164,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133956164,1768137530849,90715.985,coinbase,3851,polymarket,358,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133957620,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133957620,1768137530849,90715.985,coinbase,5307,polymarket,462,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133959179,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133959179,1768137530849,90715.985,coinbase,6866,polymarket,354,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133960666,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133960666,1768137530849,90715.965,coinbase,1286,polymarket,427,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133962202,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133962202,1768137530849,90715.965,coinbase,1584,polymarket,353,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133963652,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133963652,1768137530849,90715.965,coinbase,3034,polymarket,328,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768133965086,72354723612769247426741660426331235762851940382312402276325808095604519806766,1768133965086,1768137530849,90715.965,coinbase,4468,polymarket,377,200,,0.001,0.008,0.992,0.999,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
