ts,market_id,now,market_end_ts,official_mid,official_source,official_age_ms,book_source,book_latency_ms,book_http_status,book_missing_reason,yes_bid,yes_ask,no_bid,no_ask,book_age_ms,mock_used,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,action,reason,params_hash
1768323022247,KXBTC-25DEC31,1768323022247,1768326622247,93658.005,coinbase,1141,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323073405,KXBTC-25DEC31,1768323073405,1768326673405,93638.035,coinbase,1075,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323074577,KXBTC-25DEC31,1768323074577,1768326673405,93642.005,coinbase,994,kalshi,2,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323075690,KXBTC-25DEC31,1768323075690,1768326673405,93642.005,coinbase,1228,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323076782,KXBTC-25DEC31,1768323076782,1768326673405,93642.005,coinbase,627,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323077937,KXBTC-25DEC31,1768323077937,1768326673405,93640.01000000001,coinbase,617,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323079046,KXBTC-25DEC31,1768323079046,1768326673405,93638.025,coinbase,874,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323080176,KXBTC-25DEC31,1768323080176,1768326673405,93638.025,coinbase,2004,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323081326,KXBTC-25DEC31,1768323081326,1768326673405,93638.025,coinbase,3154,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323082440,KXBTC-25DEC31,1768323082440,1768326673405,93642.005,coinbase,449,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323083528,KXBTC-25DEC31,1768323083528,1768326673405,93642.005,coinbase,804,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323084646,KXBTC-25DEC31,1768323084646,1768326673405,93642.005,coinbase,917,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323085739,KXBTC-25DEC31,1768323085739,1768326673405,93642.005,coinbase,874,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323086844,KXBTC-25DEC31,1768323086844,1768326673405,93638.025,coinbase,923,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323088002,KXBTC-25DEC31,1768323088002,1768326673405,93650.935,coinbase,1040,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323089087,KXBTC-25DEC31,1768323089087,1768326673405,93648.005,coinbase,1689,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323090181,KXBTC-25DEC31,1768323090181,1768326673405,93646.015,coinbase,1638,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323091282,KXBTC-25DEC31,1768323091282,1768326673405,93650.015,coinbase,2458,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323092385,KXBTC-25DEC31,1768323092385,1768326673405,93642.66500000001,coinbase,477,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
1768323093509,KXBTC-25DEC31,1768323093509,1768326673405,93642.66500000001,coinbase,663,kalshi,,200,,0.47,0.48,0.52,0.53,0,false,,,,,,NO_TRADE,MODEL_WARMUP,
