ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767997049864,v1.1,540844,1767997049864,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997050906,v1.1,540844,1767997050906,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997051963,v1.1,540844,1767997051963,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997053018,v1.1,540844,1767997053018,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997054074,v1.1,540844,1767997054074,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997055132,v1.1,540844,1767997055132,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997056193,v1.1,540844,1767997056193,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997057250,v1.1,540844,1767997057250,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997058308,v1.1,540844,1767997058308,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,-1,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997059377,v1.1,540844,1767997059377,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,-1,,,,,False,UNSUPPORTED_RULES,-1,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
1767997060439,v1.1,540844,1767997060439,1785456000000,,,,BINANCE,BTCUSDT,,False,UNSUPPORTED_RULES,0,,,,,False,UNSUPPORTED_RULES,0,,,,,,,,,,,,,,,NO_TRADE:UNSUPPORTED_RULES,UNSUPPORTED_RULES,UNSUPPORTED_RULES,[],0.0000,0.0000,0.0000,0,False,
