ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767997074657,v1.1,eligible-demo,1767997074657,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997075696,v1.1,eligible-demo,1767997075696,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997076763,v1.1,eligible-demo,1767997076763,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,-1,,,,,False,RESOLUTION_UNKNOWN,-1,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997077821,v1.1,eligible-demo,1767997077821,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997078875,v1.1,eligible-demo,1767997078875,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997079933,v1.1,eligible-demo,1767997079933,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997080990,v1.1,eligible-demo,1767997080990,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,-1,,,,,False,RESOLUTION_UNKNOWN,-1,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997082051,v1.1,eligible-demo,1767997082051,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997083106,v1.1,eligible-demo,1767997083106,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997084164,v1.1,eligible-demo,1767997084164,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997085221,v1.1,eligible-demo,1767997085221,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997086291,v1.1,eligible-demo,1767997086291,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997087391,v1.1,eligible-demo,1767997087391,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997088477,v1.1,eligible-demo,1767997088477,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997089531,v1.1,eligible-demo,1767997089531,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997090598,v1.1,eligible-demo,1767997090598,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,-1,,,,,False,RESOLUTION_UNKNOWN,-1,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997091660,v1.1,eligible-demo,1767997091660,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
1767997092714,v1.1,eligible-demo,1767997092714,1767997102000,,,,UNKNOWN,,,False,RESOLUTION_UNKNOWN,0,,,,,False,RESOLUTION_UNKNOWN,0,,,,,,,,,,,,,,,NO_TRADE:RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,RESOLUTION_UNKNOWN,[],0.0000,0.0000,0.0000,0,False,
