ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768041278715,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041278715,0,,,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,,,,,,,True,,,,,,,,,,0.0,0.0,,,,,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=1 no_levels=50 yes_bid=1 no_bid=98 BOOK_SHA1:59dfd61b47,"[""BOOK_SANITY: yes_levels=1 no_levels=50 yes_bid=1 no_bid=98 BOOK_SHA1:59dfd61b47""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041278715,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041278715,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,BOOK_TOKEN_NOT_FOUND,BOOK_TOKEN_NOT_FOUND,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041281110,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041281110,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041282197,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041282197,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041283295,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041283295,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041284389,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041284389,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041285481,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041285481,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041286592,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041286592,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041287675,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041287675,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768041288754,v1.1,KXBTCMAX150-25-26JAN31-149999.99,1768041288754,1769921940000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX150-25-26JAN31-149999.99,,False,RESOLUTION_UNKNOWN,0,0.01,0.02,,,True,,0,,,,,,,,10000.0,92159,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,BOOK_TOKEN_NOT_FOUND,BOOK_TOKEN_NOT_FOUND,"[""DATA:LIVE"", ""BOOK_SHA1:59dfd61b47"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
