ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768042015598,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042015598,0,,,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,,,,,,,True,,,,,,,,,,0.0,0.0,,,,,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=25 no_levels=27 yes_bid=51 no_bid=48 BOOK_SHA1:6215e81247,"[""BOOK_SANITY: yes_levels=25 no_levels=27 yes_bid=51 no_bid=48 BOOK_SHA1:6215e81247""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042015599,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042015599,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,BOOK_TOKEN_NOT_FOUND,BOOK_TOKEN_NOT_FOUND,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042018023,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042018023,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042019105,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042019105,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042020190,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042020190,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042021284,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042021284,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042022373,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042022373,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042023483,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042023483,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042024574,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042024574,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,COOLDOWN,COOLDOWN,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768042025667,v1.1,KXBTCMAXY-26DEC31-119999.99,1768042025667,1798779540000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAXY-26DEC31-119999.99,,False,RESOLUTION_UNKNOWN,0,0.51,0.52,,,True,,0,,,,,,,,196.07843137254918,124220,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,BOOK_TOKEN_NOT_FOUND,BOOK_TOKEN_NOT_FOUND,"[""DATA:LIVE"", ""BOOK_SHA1:6215e81247"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,
