ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask
1768059182506,v1.1,KXBTC15M-26JAN101045-45,1768059182506,0,UNKNOWN,UNKNOWN,,KALSHI,KXBTC15M-26JAN101045-45,,False,RESOLUTION_UNKNOWN,0,51,52,48,49,True,,0,,,,,,,,0.0,0.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=15 no_levels=9 BOOK_SHA1:d836f69ebc,"[""BOOK_SANITY: yes_levels=15 no_levels=9 BOOK_SHA1:d836f69ebc""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059182507,v1.1,KXBTC15M-26JAN101045-45,1768059182507,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,1007,0.51,0.52,0.48,0.49,True,,0,,,,,,,,194.17475728155355,1741.3600000000001,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:d836f69ebc"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059183881,v1.1,KXBTC15M-26JAN101045-45,1768059183881,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,2235,0.51,0.52,0.48,0.49,True,,0,,,,,,,,194.17475728155355,1718.06,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:95bb64a8d1"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059185114,v1.1,KXBTC15M-26JAN101045-45,1768059185114,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,1135,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1717.3999999999999,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:055fa8b47d"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059186340,v1.1,KXBTC15M-26JAN101045-45,1768059186340,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,1281,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1717.3999999999999,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:d7fba00851"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059187546,v1.1,KXBTC15M-26JAN101045-45,1768059187546,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,2524,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1742.1,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:e42522b8d3"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059188784,v1.1,KXBTC15M-26JAN101045-45,1768059188784,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,889,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1742.1,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:e42522b8d3"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059189973,v1.1,KXBTC15M-26JAN101045-45,1768059189973,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90481.985,True,RESOLUTION_UNKNOWN,989,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1717.3999999999999,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:7ad39da6d7"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059191194,v1.1,KXBTC15M-26JAN101045-45,1768059191194,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90480.975,True,RESOLUTION_UNKNOWN,1227,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1740.15,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:7b9bd4f6fd"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
1768059192434,v1.1,KXBTC15M-26JAN101045-45,1768059192434,1768059900000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTC15M-26JAN101045-45,90480.975,True,RESOLUTION_UNKNOWN,2456,0.49,0.52,0.48,0.51,True,,0,,,,,,,,594.0594059405946,1705.3,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,NO_TRADE,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,"[""DATA:LIVE"", ""BOOK_SHA1:3d562114aa"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,
