ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask,thin_book_reason,thin_book_threshold_depth_usd,thin_book_threshold_qty,thin_book_spread_bps,thin_book_observed_spread_bps,thin_book_observed_depth_usd,thin_book_observed_depth_qty
1768061526974,v1.2,KXBTCMINY-27JAN01-78000.00,1768061526974,0,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-78000.00,,False,RESOLUTION_UNKNOWN,0,69,70,30,31,True,,0,,,,,,,,0.0,0.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=20 no_levels=18 BOOK_SHA1:c1ebf3a55e,"[""BOOK_SANITY: yes_levels=20 no_levels=18 BOOK_SHA1:c1ebf3a55e""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768061526975,v1.2,KXBTCMINY-27JAN01-78000.00,1768061526975,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,2705,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.485905089703851,-0.21409491029614897,0.16123753567757776,1612.3753567757776,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,WARMUP,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207360179427705,0.485905089703851,0.5076621569436572,0.9571426253814288,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061528309,v1.2,KXBTCMINY-27JAN01-78000.00,1768061528309,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,1186,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590508660366827,-0.2140949133963317,0.16123754059847162,1612.3754059847163,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=?,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.01920734963788633,0.48590508660366827,0.5076621527389663,0.9571426272021399,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061529517,v1.2,KXBTCMINY-27JAN01-78000.00,1768061529517,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,1864,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590508379630615,-0.2140949162036938,0.16123754505457355,1612.3754505457355,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.01920734009202235,0.48590508379630615,0.5076621489314199,0.9571426288508798,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061530809,v1.2,KXBTCMINY-27JAN01-78000.00,1768061530809,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,987,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590508079373,-0.21409491920626994,0.16123754982053712,1612.3754982053713,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207329882372753,0.48590508079373,0.5076621448591103,0.9571426306142672,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061532056,v1.2,KXBTCMINY-27JAN01-78000.00,1768061532056,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,927,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.4859050778957326,-0.21409492210426734,0.16123755442050353,1612.3755442050353,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207320028322046,0.4859050778957326,0.5076621409286379,0.9571426323162362,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061533242,v1.2,KXBTCMINY-27JAN01-78000.00,1768061533242,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,1349,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590507513949754,-0.2140949248605024,0.16123755879545176,1612.3755879545176,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.0192073106563055,0.48590507513949754,0.507662137190434,0.9571426339349494,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061534478,v1.2,KXBTCMINY-27JAN01-78000.00,1768061534478,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,1230,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590507226706353,-0.21409492773293642,0.16123756335484146,1612.3756335484147,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207300889178262,0.48590507226706353,0.5076621332946326,0.957142635621905,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061535668,v1.2,KXBTCMINY-27JAN01-78000.00,1768061535668,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,2421,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.4859050695015323,-0.21409493049846767,0.16123756774454528,1612.3756774454528,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207291485552152,0.4859050695015323,0.5076621295438206,0.9571426372460776,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061536859,v1.2,KXBTCMINY-27JAN01-78000.00,1768061536859,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,877,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.48590506673367684,-0.21409493326632312,0.1612375721379381,1612.375721379381,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.01920728207402352,0.48590506673367684,0.5076621257898564,0.957142638871615,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061538085,v1.2,KXBTCMINY-27JAN01-78000.00,1768061538085,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,954,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.4859050638844821,-0.21409493611551783,0.16123757666044009,1612.375766604401,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207272385917216,0.4859050638844821,0.5076621219255739,0.9571426405449223,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
1768061539267,v1.2,KXBTCMINY-27JAN01-78000.00,1768061539267,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMINY-27JAN01-78000.00,90578.64499999999,True,RESOLUTION_UNKNOWN,1069,0.69,0.7,0.3,0.31,True,,0,0.7,0.31000000000000005,0.4859050611375422,-0.21409493886245773,0.16123758102063374,1612.3758102063373,,143.88489208633106,16290.859999999997,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:4267"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:c1ebf3a55e"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.019207263045507676,0.4859050611375422,0.507662118199977,0.957142642158176,PV_DISCOUNTED,143658.0,71829.0,0.69,0.7,0.3,0.31000000000000005,,,,,,,
