ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative,model_name,sigma,r,d2,fair_yes_pv,fair_yes_prob,discount_factor,fair_up_prob_semantics,depth_qty_total,depth_notional_total_usd,best_yes_bid,best_yes_ask,best_no_bid,best_no_ask,thin_book_reason,thin_book_threshold_depth_usd,thin_book_threshold_qty,thin_book_spread_bps,thin_book_observed_spread_bps,thin_book_observed_depth_usd,thin_book_observed_depth_qty
1768061834337,v1.2,KXBTCMAX100-26-JAN,1768061834337,0,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMAX100-26-JAN,,False,RESOLUTION_UNKNOWN,0,27,28,72,73,True,,0,,,,,,,,0.0,0.0,UNKNOWN,UNKNOWN,,VENUE,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=20 no_levels=24 BOOK_SHA1:5166b64b5f,"[""BOOK_SANITY: yes_levels=20 no_levels=24 BOOK_SHA1:5166b64b5f""]",0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768061834337,v1.2,KXBTCMAX100-26-JAN,1768061834337,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1674,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.32699641613162156,0.04699641613162153,-0.09985337124680449,469.9641613162153,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,WARMUP,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968883198298,0.32699641613162156,0.3416379796929647,0.957143044884817,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061835754,v1.2,KXBTCMAX100-26-JAN,1768061835754,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1443,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.3269964175758987,0.046996417575898675,-0.09985337075708711,469.96417575898676,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=?,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968860897157,0.3269964175758987,0.3416379805116001,0.9571430468188116,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061836955,v1.2,KXBTCMAX100-26-JAN,1768061836955,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1498,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.32699641880001784,0.046996418800017814,-0.09985337034201958,469.9641880001781,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968841995485,0.32699641880001784,0.34163798120544697,0.9571430484579982,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061838169,v1.2,KXBTCMAX100-26-JAN,1768061838169,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,913,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.3269964200373871,0.04699642003738708,-0.09985336992245908,469.96420037387077,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968822889217,0.3269964200373871,0.34163798190680417,0.957143050114928,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061839401,v1.2,KXBTCMAX100-26-JAN,1768061839401,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,971,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.32699642129310297,0.04699642129310294,-0.09985336949667789,469.9642129310294,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.407996880349966,0.32699642129310297,0.3416379826185605,0.957143051796425,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061840638,v1.2,KXBTCMAX100-26-JAN,1768061840638,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1544,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.326996422553915,0.04699642255391495,-0.09985336906916875,469.96422553914954,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.40799687840314125,0.326996422553915,0.34163798333320533,0.9571430534847463,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061841840,v1.2,KXBTCMAX100-26-JAN,1768061841840,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1538,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.32699642377905325,0.04699642377905322,-0.09985336865375549,469.9642377905322,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.40799687651140065,0.32699642377905325,0.3416379840276298,0.9571430551252977,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061843043,v1.2,KXBTCMAX100-26-JAN,1768061843043,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1123,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.3269964250052107,0.046996425005210674,-0.09985336823799651,469.96425005210676,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968746180863,0.3269964250052107,0.3416379847226319,0.9571430567672141,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061844255,v1.2,KXBTCMAX100-26-JAN,1768061844255,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,954,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.3269964262405415,0.046996426240541456,-0.09985336781912735,469.96426240541456,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.40799687271060747,0.3269964262405415,0.34163798542283363,0.9571430584214141,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061845453,v1.2,KXBTCMAX100-26-JAN,1768061845453,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,517,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.32699642746160257,0.04699642746160254,-0.09985336740509632,469.9642746160254,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.40799687082516245,0.32699642746160257,0.34163798611494706,0.9571430600565062,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
1768061846659,v1.2,KXBTCMAX100-26-JAN,1768061846659,1798779600000,UNKNOWN,COINBASE,https://api.exchange.coinbase.com/products/BTC-USD/ticker,KALSHI,KXBTCMAX100-26-JAN,90500.055,True,RESOLUTION_UNKNOWN,1729,0.27,0.28,0.72,0.73,True,,0,0.28,0.73,0.3269964286908178,0.04699642869081777,-0.09985336698830061,469.9642869081777,,363.6363636363639,962.05,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,drift_bps=0.0|vol_bps=0.0,NO_TRADE,THIN_BOOK,THIN_BOOK,"[""DEPTH_NEAR_USD:372"", ""THIN_BOOK"", ""LAST_SHOCK:THIN_BOOK"", ""DATA:LIVE"", ""BOOK_SHA1:5166b64b5f"", ""EXEC:PAPER""]",0.0,0.0,0.0,0,False,,,,,,,,,,,BSM_BINARY_ND2,0.65,0.045,-0.4079968689271268,0.3269964286908178,0.34163798681168234,0.9571430617025172,PV_DISCOUNTED,103262.0,51630.99999999999,0.27,0.28,0.72,0.73,,,,,,,
