ts,schema_version,market_id,now,market_end_ts,official_required_venue,official_used_venue,official_used_endpoint,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,market_class,required_symbol,rules_end_ts,end_ts_source,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash,fill_mode,fill_feasible,fill_slippage_cents,fill_depth_required,fill_depth_used,arb_cost_cents,arb_cost_cents_conservative,arb_edge_cents,arb_edge_cents_conservative
1768039780152,v1.1,KXBTCMINY-27JAN01-65000.00,1768039780152,0,,,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,,,,,,,True,,,,,,,,,,0.0,0.0,,,,,,NO_TRADE,BOOK_SANITY,BOOK_SANITY: yes_levels=22 no_levels=18 yes_bid=46 no_bid=53 BOOK_SHA1:732dddd028,"[""BOOK_SANITY: yes_levels=22 no_levels=18 yes_bid=46 no_bid=53 BOOK_SHA1:732dddd028""]",0.0,0.0,0.0,0,False,,,,,,,,,,
1768039780156,v1.1,KXBTCMINY-27JAN01-65000.00,1768039780156,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,WOULD_ENTER,FORCE_ENTRY,FORCE_ENTRY,"[""FORCE_ENTRY"", ""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER"", ""FILL: ENTER YES 2.1 @ 0.470""]",0.0,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039781258,v1.1,KXBTCMINY-27JAN01-65000.00,1768039781258,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039782334,v1.1,KXBTCMINY-27JAN01-65000.00,1768039782334,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039783444,v1.1,KXBTCMINY-27JAN01-65000.00,1768039783444,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039784535,v1.1,KXBTCMINY-27JAN01-65000.00,1768039784535,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039785620,v1.1,KXBTCMINY-27JAN01-65000.00,1768039785620,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039786749,v1.1,KXBTCMINY-27JAN01-65000.00,1768039786749,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039787844,v1.1,KXBTCMINY-27JAN01-65000.00,1768039787844,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039788949,v1.1,KXBTCMINY-27JAN01-65000.00,1768039788949,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039790042,v1.1,KXBTCMINY-27JAN01-65000.00,1768039790042,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039791127,v1.1,KXBTCMINY-27JAN01-65000.00,1768039791127,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039792217,v1.1,KXBTCMINY-27JAN01-65000.00,1768039792217,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039793307,v1.1,KXBTCMINY-27JAN01-65000.00,1768039793307,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039794418,v1.1,KXBTCMINY-27JAN01-65000.00,1768039794418,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,HOLD,ALREADY_IN,FORCE_HOLD,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER""]",-0.9901063829787233,0.0,0.0,1,False,FORCE,,,,,,,,,
1768039795525,v1.1,KXBTCMINY-27JAN01-65000.00,1768039795525,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,,,,,,,,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,,WOULD_EXIT,FORCE_EXIT,FORCE_EXIT,"[""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER"", ""FILL:EXIT 2.1 @ 0.460""]",-1.011382978723404,0.0,0.0,0,False,,,,,,,,,,
1768039796613,v1.1,KXBTCMINY-27JAN01-65000.00,1768039796613,1798779600000,UNKNOWN,UNKNOWN,,KALSHI,KXBTCMINY-27JAN01-65000.00,,False,RESOLUTION_UNKNOWN,0,0.46,0.47,,,True,,0,0.5,0.5,0.5,0.0,0.0,0,0,217.39130434782507,51410,KALSHI_PRICE_THRESHOLD,BTC-USD,,VENUE,FORCE,WOULD_ENTER,FORCE_ENTRY,FORCE_ENTRY,"[""FORCE_ENTRY"", ""DATA:LIVE"", ""BOOK_SHA1:732dddd028"", ""EXEC:PAPER"", ""FILL: ENTER YES 2.1 @ 0.470""]",-1.011382978723404,0.0,0.0,1,False,FORCE,,,,,,,,,
