ts,market_id,now,market_end_ts,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767991060629,540844,1767991060629,1785456000000,BINANCE,BTCUSDT,90435.995,True,,-2389,0.48,0.49,0.51,0.52,True,,-2810,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991064439,540844,1767991064439,1785456000000,BINANCE,BTCUSDT,90419.995,True,,-2195,0.48,0.49,0.51,0.52,True,,-2625,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991068067,540844,1767991068067,1785456000000,BINANCE,BTCUSDT,90421.07500000001,True,,-2155,0.48,0.49,0.51,0.52,True,,-2579,,,,,,,,,,,NO_TRADE:MODEL_WARMUP,MODEL_WARMUP,MODEL_WARMUP,[],0.0000,0.0000,0.0000,0,False,
1767991071647,540844,1767991071647,1785456000000,BINANCE,BTCUSDT,90412.965,True,,-2161,0.48,0.49,0.51,0.52,True,,-2595,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=2.5|vol_bps=0.8,WOULD_ENTER,EDGE_OK,EDGE_OK,[],0.0000,0.0000,0.0000,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991075243,540844,1767991075243,1785456000000,BINANCE,BTCUSDT,90411.935,True,,-2136,0.48,0.49,0.51,0.52,True,,-2575,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=2.7|vol_bps=0.7,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0100,0.0100,0.0100,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991078821,540844,1767991078821,1785456000000,BINANCE,BTCUSDT,90412.88500000001,True,,-2108,0.48,0.49,0.51,0.52,True,,-2511,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=2.6|vol_bps=0.7,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0100,0.0100,0.0100,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991082332,540844,1767991082332,1785456000000,BINANCE,BTCUSDT,90405.68,True,,-2187,0.48,0.49,0.51,0.52,True,,-2627,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=3.4|vol_bps=0.7,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0200,0.0200,0.0200,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991085961,540844,1767991085961,1785456000000,BINANCE,BTCUSDT,90404.04000000001,True,,-2136,0.48,0.49,0.51,0.52,True,,-2525,0.49,0.52,,-0.49,0.48,4800.0,4800.0,194.17475728155355,,drift_bps=3.5|vol_bps=0.6,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0200,0.0200,0.0200,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991089487,540844,1767991089487,1785456000000,BINANCE,BTCUSDT,90405.955,True,,-2194,0.48,0.49,0.51,0.52,True,,-2602,0.49,0.52,0.14285714285714285,-0.34714285714285714,0.3371428571428572,3371.428571428572,3371.428571428572,194.17475728155355,,drift_bps=3.3|vol_bps=0.6,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0300,0.0300,0.0300,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991093090,540844,1767991093090,1785456000000,BINANCE,BTCUSDT,90426.67499999999,True,,-2117,0.48,0.49,0.51,0.52,True,,-2550,0.49,0.52,0.25,-0.24,0.22999999999999998,2300.0,2300.0,194.17475728155355,,drift_bps=1.0|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991096640,540844,1767991096640,1785456000000,BINANCE,BTCUSDT,90423.66,True,,-2136,0.48,0.49,0.51,0.52,True,,-2549,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,1466.6666666666672,194.17475728155355,,drift_bps=1.4|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991100190,540844,1767991100190,1785456000000,BINANCE,BTCUSDT,90431.015,True,,-2155,0.48,0.49,0.51,0.52,True,,-2534,0.49,0.52,0.4,-0.08999999999999997,0.07999999999999996,799.9999999999995,799.9999999999995,194.17475728155355,,drift_bps=0.6|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991103725,540844,1767991103725,1785456000000,BINANCE,BTCUSDT,90419.19,True,,-2165,0.48,0.49,0.51,0.52,True,,-2608,0.49,0.52,0.36363636363636365,-0.12636363636363634,0.11636363636363634,1163.6363636363633,1163.6363636363633,194.17475728155355,,drift_bps=1.9|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991107334,540844,1767991107334,1785456000000,BINANCE,BTCUSDT,90418.38500000001,True,,-2129,0.48,0.49,0.51,0.52,True,,-2533,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,1466.6666666666672,194.17475728155355,,drift_bps=1.9|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991110872,540844,1767991110872,1785456000000,BINANCE,BTCUSDT,90412.995,True,,-2110,0.48,0.49,0.51,0.52,True,,-2567,0.49,0.52,0.3076923076923077,-0.18230769230769228,0.17230769230769227,1723.0769230769226,1723.0769230769226,194.17475728155355,,drift_bps=2.5|vol_bps=0.9,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991114439,540844,1767991114439,1785456000000,BINANCE,BTCUSDT,90425.995,True,,-2120,0.48,0.49,0.51,0.52,True,,-2513,0.49,0.52,0.35714285714285715,-0.13285714285714284,0.12285714285714278,1228.5714285714278,1228.5714285714278,194.17475728155355,,drift_bps=1.1|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991117953,540844,1767991117953,1785456000000,BINANCE,BTCUSDT,90425.995,True,,-2149,0.48,0.49,0.51,0.52,True,,-2620,0.49,0.52,0.4,-0.08999999999999997,0.07999999999999996,799.9999999999995,799.9999999999995,194.17475728155355,,drift_bps=1.1|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991121579,540844,1767991121579,1785456000000,BINANCE,BTCUSDT,90425.995,True,,-2155,0.48,0.49,0.51,0.52,True,,-2559,0.49,0.52,0.375,-0.11499999999999999,0.10499999999999998,1049.9999999999998,1049.9999999999998,194.17475728155355,,drift_bps=0.7|vol_bps=0.9,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991125139,540844,1767991125139,1785456000000,BINANCE,BTCUSDT,90425.995,True,,-2166,0.48,0.49,0.51,0.52,True,,-2704,0.49,0.52,0.35294117647058826,-0.13705882352941173,0.12705882352941167,1270.5882352941167,1270.5882352941167,194.17475728155355,,drift_bps=0.5|vol_bps=0.9,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991128843,540844,1767991128843,1785456000000,BINANCE,BTCUSDT,90433.995,True,,-2186,0.48,0.49,0.51,0.52,True,,-2702,0.49,0.52,0.3888888888888889,-0.1011111111111111,0.09111111111111114,911.1111111111114,911.1111111111114,194.17475728155355,,drift_bps=2.3|vol_bps=0.8,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0300,0.0300,0.0300,0,False,
1767991132545,540844,1767991132545,1785456000000,BINANCE,BTCUSDT,90427.935,True,,-2170,0.48,0.49,0.51,0.52,True,,-2617,0.49,0.52,0.42105263157894735,-0.06894736842105265,0.05894736842105264,589.4736842105264,589.4736842105264,194.17475728155355,,drift_bps=1.8|vol_bps=0.9,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0300,0.0300,0.0300,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991136162,540844,1767991136162,1785456000000,BINANCE,BTCUSDT,90421.445,True,,-2125,0.48,0.49,0.51,0.52,True,,-2537,0.49,0.52,0.4,-0.08999999999999997,0.07999999999999996,799.9999999999995,799.9999999999995,194.17475728155355,,drift_bps=0.9|vol_bps=0.9,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0400,0.0400,0.0400,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991139702,540844,1767991139702,1785456000000,BINANCE,BTCUSDT,90415.985,True,,-2121,0.48,0.49,0.51,0.52,True,,-2556,0.49,0.52,0.38095238095238093,-0.10904761904761906,0.09904761904761905,990.4761904761905,990.4761904761905,194.17475728155355,,drift_bps=1.1|vol_bps=0.9,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0400,0.0400,0.0400,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991143260,540844,1767991143260,1785456000000,BINANCE,BTCUSDT,90415.985,True,,-2155,0.48,0.49,0.51,0.52,True,,-2585,0.49,0.52,0.36363636363636365,-0.12636363636363634,0.11636363636363634,1163.6363636363633,1163.6363636363633,194.17475728155355,,drift_bps=1.3|vol_bps=0.9,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0500,0.0500,0.0500,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991146847,540844,1767991146847,1785456000000,BINANCE,BTCUSDT,90410.47,True,,-2115,0.48,0.49,0.51,0.52,True,,-2581,0.49,0.52,0.34782608695652173,-0.14217391304347826,0.13217391304347825,1321.7391304347825,1321.7391304347825,194.17475728155355,,drift_bps=0.5|vol_bps=0.9,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0500,0.0500,0.0500,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991150429,540844,1767991150429,1785456000000,BINANCE,BTCUSDT,90415.985,True,,-2115,0.48,0.49,0.51,0.52,True,,-2511,0.49,0.52,0.3333333333333333,-0.15666666666666668,0.14666666666666672,1466.6666666666672,1466.6666666666672,194.17475728155355,,drift_bps=1.2|vol_bps=0.7,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0600,0.0600,0.0600,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991153940,540844,1767991153940,1785456000000,BINANCE,BTCUSDT,90411.995,True,,-2125,0.48,0.49,0.51,0.52,True,,-2508,0.49,0.52,0.36,-0.13,0.12,1200.0,1200.0,194.17475728155355,,drift_bps=1.3|vol_bps=0.7,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991157448,540844,1767991157448,1785456000000,BINANCE,BTCUSDT,90411.995,True,,-2271,0.48,0.49,0.51,0.52,True,,-2739,0.49,0.52,0.34615384615384615,-0.14384615384615385,0.13384615384615384,1338.4615384615383,1338.4615384615383,194.17475728155355,,drift_bps=2.1|vol_bps=0.7,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991161187,540844,1767991161187,1785456000000,BINANCE,BTCUSDT,90417.11,True,,-2167,0.48,0.49,0.51,0.52,True,,-2588,0.49,0.52,0.37037037037037035,-0.11962962962962964,0.10962962962962963,1096.2962962962963,1096.2962962962963,194.17475728155355,,drift_bps=0.2|vol_bps=0.6,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991164779,540844,1767991164779,1785456000000,BINANCE,BTCUSDT,90417.35,True,,-2119,0.48,0.49,0.51,0.52,True,,-2517,0.49,0.52,0.39285714285714285,-0.09714285714285714,0.08714285714285719,871.4285714285719,871.4285714285719,194.17475728155355,,drift_bps=0.1|vol_bps=0.6,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991168296,540844,1767991168296,1785456000000,BINANCE,BTCUSDT,90417.92,True,,-2195,0.48,0.49,0.51,0.52,True,,-2601,0.49,0.52,0.41379310344827586,-0.07620689655172413,0.06620689655172418,662.0689655172418,662.0689655172418,194.17475728155355,,drift_bps=0.5|vol_bps=0.6,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991171904,540844,1767991171904,1785456000000,BINANCE,BTCUSDT,90417.11499999999,True,,-2124,0.48,0.49,0.51,0.52,True,,-2542,0.49,0.52,0.4,-0.08999999999999997,0.07999999999999996,799.9999999999995,799.9999999999995,194.17475728155355,,drift_bps=1.0|vol_bps=0.5,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991175446,540844,1767991175446,1785456000000,BINANCE,BTCUSDT,90417.11499999999,True,,-2104,0.48,0.49,0.51,0.52,True,,-2508,0.49,0.52,0.3870967741935484,-0.10290322580645161,0.0929032258064516,929.0322580645161,929.0322580645161,194.17475728155355,,drift_bps=1.0|vol_bps=0.5,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991178955,540844,1767991178955,1785456000000,BINANCE,BTCUSDT,90379.66500000001,True,,-2162,0.48,0.49,0.51,0.52,True,,-2616,0.49,0.52,0.375,-0.11499999999999999,0.10499999999999998,1049.9999999999998,1049.9999999999998,194.17475728155355,,drift_bps=5.1|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991182572,540844,1767991182572,1785456000000,BINANCE,BTCUSDT,90379.66500000001,True,,-2349,0.48,0.49,0.51,0.52,True,,-2822,0.49,0.52,0.36363636363636365,-0.12636363636363634,0.11636363636363634,1163.6363636363633,1163.6363636363633,194.17475728155355,,drift_bps=5.1|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991186395,540844,1767991186395,1785456000000,BINANCE,BTCUSDT,90377.995,True,,-2210,0.48,0.49,0.51,0.52,True,,-2688,0.49,0.52,0.35294117647058826,-0.13705882352941173,0.12705882352941167,1270.5882352941167,1270.5882352941167,194.17475728155355,,drift_bps=6.2|vol_bps=1.0,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991190084,540844,1767991190084,1785456000000,BINANCE,BTCUSDT,90384.765,True,,-2451,0.48,0.49,0.51,0.52,True,,-2922,0.49,0.52,0.37142857142857144,-0.11857142857142855,0.10857142857142854,1085.7142857142853,1085.7142857142853,194.17475728155355,,drift_bps=4.8|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0600,0.0600,0.0600,0,False,
1767991194007,540844,1767991194007,1785456000000,BINANCE,BTCUSDT,90392.155,True,,-2200,0.48,0.49,0.51,0.52,True,,-2605,0.49,0.52,0.3888888888888889,-0.1011111111111111,0.09111111111111114,911.1111111111114,911.1111111111114,194.17475728155355,,drift_bps=3.2|vol_bps=1.1,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0600,0.0600,0.0600,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991197612,540844,1767991197612,1785456000000,BINANCE,BTCUSDT,90385.765,True,,-2182,0.48,0.49,0.51,0.52,True,,-2577,0.49,0.52,0.40540540540540543,-0.08459459459459456,0.0745945945945945,745.945945945945,745.945945945945,194.17475728155355,,drift_bps=3.3|vol_bps=1.1,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0700,0.0700,0.0700,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991201190,540844,1767991201190,1785456000000,BINANCE,BTCUSDT,90388.0,True,,-2174,0.48,0.49,0.51,0.52,True,,-2566,0.49,0.52,0.39473684210526316,-0.09526315789473683,0.08526315789473682,852.6315789473682,852.6315789473682,194.17475728155355,,drift_bps=3.1|vol_bps=1.1,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0700,0.0700,0.0700,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991204757,540844,1767991204757,1785456000000,BINANCE,BTCUSDT,90385.10500000001,True,,-2185,0.48,0.49,0.51,0.52,True,,-2625,0.49,0.52,0.38461538461538464,-0.10538461538461535,0.0953846153846154,953.846153846154,953.846153846154,194.17475728155355,,drift_bps=2.8|vol_bps=1.1,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0800,0.0800,0.0800,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991208382,540844,1767991208382,1785456000000,BINANCE,BTCUSDT,90379.97,True,,-2102,0.48,0.49,0.51,0.52,True,,-2511,0.49,0.52,0.375,-0.11499999999999999,0.10499999999999998,1049.9999999999998,1049.9999999999998,194.17475728155355,,drift_bps=4.0|vol_bps=1.1,WOULD_ENTER,EDGE_OK,EDGE_OK,[],-0.0800,0.0800,0.0800,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991211896,540844,1767991211896,1785456000000,BINANCE,BTCUSDT,90381.975,True,,-2130,0.48,0.49,0.51,0.52,True,,-2540,0.49,0.52,0.36585365853658536,-0.12414634146341463,0.11414634146341462,1141.4634146341461,1141.4634146341461,194.17475728155355,,drift_bps=3.3|vol_bps=1.1,WOULD_STOP,WOULD_STOP,WOULD_STOP,[],-0.0900,0.0900,0.0900,0,False,0543aa73c13b2d637cd97d948957ce40bf4beca07b377d191ef4be21a15b5213
1767991215436,540844,1767991215436,1785456000000,BINANCE,BTCUSDT,90381.41,True,,-2134,0.48,0.49,0.51,0.52,True,,-2590,0.49,0.52,0.38095238095238093,-0.10904761904761906,0.09904761904761905,990.4761904761905,990.4761904761905,194.17475728155355,,drift_bps=3.4|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991219026,540844,1767991219026,1785456000000,BINANCE,BTCUSDT,90354.805,True,,-2105,0.48,0.49,0.51,0.52,True,,-2606,0.49,0.52,0.37209302325581395,-0.11790697674418604,0.10790697674418603,1079.0697674418604,1079.0697674418604,194.17475728155355,,drift_bps=6.9|vol_bps=1.3,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991222634,540844,1767991222634,1785456000000,BINANCE,BTCUSDT,90340.26999999999,True,,-2180,0.48,0.49,0.51,0.52,True,,-2604,0.49,0.52,0.36363636363636365,-0.12636363636363634,0.11636363636363634,1163.6363636363633,1163.6363636363633,194.17475728155355,,drift_bps=8.5|vol_bps=1.3,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991226242,540844,1767991226242,1785456000000,BINANCE,BTCUSDT,90329.995,True,,-2146,0.48,0.49,0.51,0.52,True,,-2572,0.49,0.52,0.35555555555555557,-0.13444444444444442,0.12444444444444436,1244.4444444444437,1244.4444444444437,194.17475728155355,,drift_bps=9.7|vol_bps=1.3,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991229817,540844,1767991229817,1785456000000,BINANCE,BTCUSDT,90344.65,True,,-2194,0.48,0.49,0.51,0.52,True,,-2617,0.49,0.52,0.3695652173913043,-0.12043478260869567,0.11043478260869566,1104.3478260869565,1104.3478260869565,194.17475728155355,,drift_bps=8.0|vol_bps=1.4,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991233435,540844,1767991233435,1785456000000,BINANCE,BTCUSDT,90354.675,True,,-2118,0.48,0.49,0.51,0.52,True,,-2514,0.49,0.52,0.3829787234042553,-0.10702127659574467,0.09702127659574467,970.2127659574467,970.2127659574467,194.17475728155355,,drift_bps=6.9|vol_bps=1.4,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991236950,540844,1767991236950,1785456000000,BINANCE,BTCUSDT,90354.565,True,,-2160,0.48,0.49,0.51,0.52,True,,-2625,0.49,0.52,0.3958333333333333,-0.09416666666666668,0.08416666666666672,841.6666666666672,841.6666666666672,194.17475728155355,,drift_bps=2.8|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991240575,540844,1767991240575,1785456000000,BINANCE,BTCUSDT,90355.83499999999,True,,-2150,0.48,0.49,0.51,0.52,True,,-2597,0.49,0.52,0.40816326530612246,-0.08183673469387753,0.07183673469387752,718.3673469387752,718.3673469387752,194.17475728155355,,drift_bps=2.6|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
1767991244172,540844,1767991244172,1785456000000,BINANCE,BTCUSDT,90355.83499999999,True,,-2173,0.48,0.49,0.51,0.52,True,,-2582,0.49,0.52,0.42,-0.07,0.06000000000000005,600.0000000000006,600.0000000000006,194.17475728155355,,drift_bps=2.5|vol_bps=1.1,NO_TRADE:RATE_LIMIT,RATE_LIMIT,RATE_LIMIT,[],-0.0900,0.0900,0.0900,0,False,
