ts,market_id,now,market_end_ts,venue,symbol,official_mid,official_ok,official_err,official_age_ms,pm_yes_bid,pm_yes_ask,pm_no_bid,pm_no_ask,book_ok,book_err,pm_book_age_ms,implied_yes,implied_no,fair_up_prob,edge_yes,edge_no,edge_gross_bps,edge_net_bps,spread_bps,depth_total,regime,action,reason,filter_reason,microstructure_flags,daily_pnl,daily_loss,total_loss,open_markets,kill_switch,params_hash
1767991527786,540844,1767991527786,1767991557000,BINANCE,BTCUSDT,90230.405,True,,-2317,0.48,0.49,0.51,0.52,True,,-2718,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991531521,540844,1767991531521,1767991557000,BINANCE,BTCUSDT,90257.88500000001,True,,-2145,0.48,0.49,0.51,0.52,True,,-2596,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991535119,540844,1767991535119,1767991557000,BINANCE,BTCUSDT,90256.005,True,,-2103,0.48,0.49,0.51,0.52,True,,-2548,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991538668,540844,1767991538668,1767991557000,BINANCE,BTCUSDT,90242.025,True,,-2147,0.48,0.49,0.51,0.52,True,,-2622,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991542290,540844,1767991542290,1767991557000,BINANCE,BTCUSDT,90267.975,True,,-2199,0.48,0.49,0.51,0.52,True,,-2633,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991545923,540844,1767991545923,1767991557000,BINANCE,BTCUSDT,90265.995,True,,-2098,0.48,0.49,0.51,0.52,True,,-2518,,,,,,,,,,,NO_TRADE:LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,LAST_ENTRY_CUTOFF,[],0.0000,0.0000,0.0000,0,False,
1767991549441,540844,1767991549441,1767991557000,BINANCE,BTCUSDT,90254.565,True,,-2140,0.48,0.49,0.51,0.52,True,,-2564,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991553007,540844,1767991553007,1767991557000,BINANCE,BTCUSDT,90253.705,True,,-2192,0.48,0.49,0.51,0.52,True,,-2614,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991556623,540844,1767991556623,1767991557000,BINANCE,BTCUSDT,90248.495,True,,-2165,0.48,0.49,0.51,0.52,True,,-2633,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991560260,540844,1767991560260,1767991557000,BINANCE,BTCUSDT,90246.005,True,,-2159,0.48,0.49,0.51,0.52,True,,-2591,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991563851,540844,1767991563851,1767991557000,BINANCE,BTCUSDT,90243.265,True,,-2164,0.48,0.49,0.51,0.52,True,,-2579,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991567431,540844,1767991567431,1767991557000,BINANCE,BTCUSDT,90263.745,True,,-2120,0.48,0.49,0.51,0.52,True,,-2567,,,,,,,,,,,NO_TRADE:MARKET_ENDED,MARKET_ENDED,MARKET_ENDED,[],0.0000,0.0000,0.0000,0,False,
1767991570999,540844,1767991570999,1767991557000,BINANCE,BTCUSDT,90263.745,True,,-2148,0.48,0.49,0.51,0.52,True,,-2568,,,,,,,,,,,NO_TRADE:CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,[],0.0000,0.0000,0.0000,0,False,
1767991574574,540844,1767991574574,1767991557000,BINANCE,BTCUSDT,90263.745,True,,-2118,0.48,0.49,0.51,0.52,True,,-2589,,,,,,,,,,,NO_TRADE:CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,[],0.0000,0.0000,0.0000,0,False,
1767991578164,540844,1767991578164,1767991557000,BINANCE,BTCUSDT,90263.745,True,,-2171,0.48,0.49,0.51,0.52,True,,-2566,,,,,,,,,,,NO_TRADE:CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,[],0.0000,0.0000,0.0000,0,False,
1767991581730,540844,1767991581730,1767991557000,BINANCE,BTCUSDT,90263.735,True,,-2148,0.48,0.49,0.51,0.52,True,,-2573,,,,,,,,,,,NO_TRADE:CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,[],0.0000,0.0000,0.0000,0,False,
1767991585310,540844,1767991585310,1767991557000,BINANCE,BTCUSDT,90268.11,True,,-2186,0.48,0.49,0.51,0.52,True,,-2591,,,,,,,,,,,NO_TRADE:CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,CANCEL_RATE_LIMIT,[],0.0000,0.0000,0.0000,0,False,
